Type,Description,Sub category,sub-sub-category
5-aminosalicylic acid therapy,5-aminosalicylic acid therapy,,
5-fluorouracil,5-fluorouracil therapy,,
5-fluorouracil,5-fluorouraciland,,
a 15-mm Hg change,a 15-mm Hg change,,
blunt chest trauma,a blunt chest trauma,,
dissecting aneurysm,a dissecting aneurysm,,
dissecting aneurysm,a dissecting aortic aneurysm,,
Intramural hematoma,A fast-growing obstructive left atrial intramural hematoma,,
a higher vasomotor tone,a higher vasomotor tone,,
a mean of 38 ( 28 - 44 ) days of a hunger strike,a mean of 38 ( 28 - 44 ) days of a hunger strike,,
a motor vehicle accident,a motor vehicle accident,accident,
a motor vehicle accident,a motor vehicle collision,accident,
a pedunculated epipleural hamartoma,a pedunculated epipleural hamartoma,,
a possible pathophysiological mechanism,a possible pathophysiological mechanism,,
a primary motor disorder,a primary motor disorder,motility,
a primary motor disorder,a primary motor disorder,motility,
abdominal,abdominal and chest trauma,,
abdominal,abdominal disorders,,
ablation,a radiofrequency ablation,,
ablation,mass excision,,
ablation,splenectomy,,
ablation,the ablation procedure,,
Abnormal cardiac,Abnormal cardiac nociception,Abnormal cardiac nociception,
Abnormal cardiac,abnormal cardiac nociception,Abnormal cardiac nociception,
Abnormal cardiac,abnormal cardiac sensitivity,,
Abnormal cardiac,"vascular , nonvascular , and cardiac abnormalities",,
abnormal function of autonomic nervous system,abnormal function of autonomic nervous system,,
Abnormal Transmural gradient of longitudinal strain,Abnormal TGLS,,
abnormal vasodilator reserve,abnormal vasodilator reserve,,
abscess,rupture of the abscess,,
abscess,the occurrence of dorsal subcutaneous fistulized abscess,,
absence of the pericardium,Congenital complete absence of the left pericardium,absence of the left pericardium,
absence of the pericardium,The partial absence of the left pericardium,absence of the left pericardium,
absence of the pericardium,a partial congenital absence of the pericardium,,
abuse,abuse,,
abuse of a topical nasal vasodilator,abuse of a topical nasal vasodilator,,
accident,an accident,,
accident,the accident,,
accident,the accident,,
acetylcholine,acetylcholine,,
acetylcholine ,ACh,,
achalasia,achalasia,,
achalasia,achalasia,,
achalasia,achalasia,,
achalasia,achalasia,,
achalasia,achalasia,,
achalasia,achalasia,,
achalasia,achalasia,,
achalasia,achalasia,,
achalasia,achalasia,,
achalasia,achalasia,,
achalasia,vigorous achalasia,,
acid perfusion,acid perfusion,,
acid perfusion,Acid perfusion,,
acid perfusion,Acid perfusion test,,
Acid reflux,Acid reflux,,
Acid reflux,Acid reflux,,
Acid reflux,acid reflux,,
Acid reflux,Acid reflux,,
Acid reflux,acid reflux,,
Acid reflux,acid reflux,,
Acid reflux,acidic reflux,,
acid regurgitation,acid regurgitation,,
acid regurgitation,acid regurgitation,,
acid regurgitation,acid regurgitation,,
Acidosis,Acidosis,,
Acidosis,systemic acidosis,,
activity,increased activity,,
activity,physical activity,,
activity,Strenuous Sexual Activity,,
acupuncture,acupuncture,,
acupuncture,acupuncture,,
acute catecholamine secretion,acute catecholamine secretion,,
acute hemodynamic compromise,"Chronic , pseudocystically altered splenic hematoma",,
acute hemodynamic compromise,acute hemodynamic compromise,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,acute myocardial infarction,,
acute myocardial infarction,AMI,,
acute myocardial infarction,AMI,,
acute myocardial infarction,AMI,,
acute myocardial infarction,AMI,,
acute myocardial infarction,AMI,,
acute myocardial infarction,AMI,,
acute myocardial infarction,AMI,,
acute myocardial infarction,AMI-patient,,
acute myocardial infarction,an acute myocardial infarction,,
acute myocardial infarction,an acute myocardial infarction,,
acute myocardial infarction,an acute myocardial infarction,,
acute myocardial infarction,an acute transmural anterior myocardial infarction,,
acute myocardial infarction,developed AMI,,
acute myocardial infarction,first AMI,,
acute myocardial infarction,the diagnosis of acute myocardial infarction,,
acute myocarditis,acute myocarditis,,
acute myocarditis,acute myocarditis,,
acute pulmonary embolism,Acute pulmonary thromboembolism,,
acute pulmonary embolism,an acute pulmonary embolism,,
acute pulmonary embolism,Acute pulmonary embolism,,
acute pulmonary embolism,acute pulmonary embolism,,
acute pulmonary embolism,acute pulmonary embolism,,
acute pulmonary embolism,acute pulmonary embolus,,
acute pulmonary embolism,APE,,
acute pulmonary embolism,APTE,,
adenosine,Adenosine infusion,Adenosine infusion,
adenosine,Infusion of adenosine,Adenosine infusion,
adenosine,the intravenous infusion of adenosine,Adenosine infusion,
adenosine,Adenosine,,
adenosine,adenosine,,
adenosine,Adenosine,,
adenosine,adenosine,,
adenosine,adenosine,,
adenosine,Adenosine,,
adenosine,adenosine,,
adenosine,Adenosine,,
adenosine,adenosine,,
adenosine,adenosine,,
adenosine,adenosine,,
adenosine,adenosine,,
adenosine,completion of adenosine pharmacologic stress testing,,
adenosine,equipotent doses of adenosine,,
adenosine,intracoronary administration of adenosine,,
administration,administration of a thrombolytic agent,,
administration,administration of acetylcholine,,
administration,Administration of an 8-day methotrexate and folinic acid regime,,
administration,administration of calcium channel blockers,,
administration,administration of intravenous nitroglycerin,,
administration,administration of topical oropharyngeal benzocaine,,
administration,propranolol administration,,
administration,rt-PA administration,,
aetiology,diverse etiologies,,
aetiology,en entity of unknown etiology,,
aetiology,etiologies,,
aetiology,the likely aetiology,,
agent,agent,,
alkaline ingestion,alkaline ingestion,,
Allopregnanolone levels,Allopregnanolone levels,,
Allopregnanolone levels,Allopregnanolone levels,,
Amipaque,Amipaque,,
amphotericin,discontinuation of aeABLC,Aerosolized amphotericin B lipid complex,
an abnormal LV diastolic filling,an abnormal LV diastolic filling,,
An atheromatous plaque or hyperplasia of the intima,An atheromatous plaque or hyperplasia of the intima,,
an EBUS-TBNA or EUS-FNA procedure,an EBUS-TBNA or EUS-FNA procedure,,
an emotional event,an acute anxiety attack,anxiety,
an emotional event,Anxiety,anxiety,
an emotional event,Anxiety,anxiety,
an emotional event,anxiety,anxiety,
an emotional event,anxiety,anxiety,
an emotional event,anxiety disorders,anxiety,
an emotional event,Presence of anxiety disorders,anxiety,
an emotional event,a severe emotional stress,emotional stress,
an emotional event,"a stressful , emotional event",emotional stress,
an emotional event,an emotional stress,emotional stress,
an emotional event,an emotional stress,emotional stress,
an emotional event,emotional stress,emotional stress,
an emotional event,emotional stress,emotional stress,
an emotional event,mental stress,emotional stress,
an emotional event,Mental stress testing,emotional stress,
an emotional event,a panic disorder,panic disorder,
an emotional event,a panic disorder,panic disorder,
an emotional event,panic disorder,panic disorder,
an emotional event,panic disorder,panic disorder,
an emotional event,the presence of panic disorder,panic disorder,
an emotional event,the presence of panic disorder,panic disorder,
an emotional event,a stress,stress,
an emotional event,a stress test,stress,
an emotional event,a stressful event,stress,
an emotional event,an emotional or physical stressful event,stress,
an emotional event,Intense distress,stress,
an emotional event,stress testing,stress,
an emotional event,stress-induced ischaemic episodes,stress,
an emotional event,a quarrel,quarrel,
an emotional event,a quarrel,,
an emotional event,altered mental status,,
an emotional event,an emotional event,,
an emotional event,an emotional upset,,
an emotional event,brother 's death,,
an emotional event,fear,,
an exacerbation of their disease,an exacerbation of their disease,,
an impending rupture,an impending rupture,,
an important prognostic factor,an important prognostic factor,,
troponin,an increased level of troponin T.,,
An increased probability of a dyspepsia diagnosis,An increased probability of a dyspepsia diagnosis,,
an indwelling Bravo pH probe,an indwelling Bravo pH probe,,
thoracic lipoma,"An infarcted , pedunculated thoracic lipoma",,
an initial short-lasting symptomatic improvement,an initial short-lasting symptomatic improvement,,
an intraluminal pseudotumor,an intraluminal pseudotumor,,
an orthopedic problem,an orthopedic problem,,
an unusual presentation of multiple myeloma,an unusual presentation of multiple myeloma,,
anemia,severe anemia,,
aneurysm,a saccular aneurysm of the left coronary sinus of Valsalva,aneurysm of the left sinus of Valsalva,
aneurysm,Rupture of a left sinus of valsalva aneurysm,aneurysm of the left sinus of Valsalva,
aneurysm,a dissecting aneurysm,dissecting aneurysm,
aneurysm,a dissecting aortic aneurysm,dissecting aneurysm,
aneurysm,Dissecting aneurysms,dissecting aneurysm,
aneurysm,rupture of previously stented saphenous vein graft aneurysm,saphenous vein graft aneurysm,
aneurysm,ruptured giant aortocoronary saphenous vein graft aneurysm,saphenous vein graft aneurysm,
aneurysm,a left ventricular false aneurysm,,
aneurysm,a symptomatic aneurysm of ARSA,,
aneurysm,Ruptured Valsalva sinus aneurysms,,
aneurysm,a pseudoaneurysm,,
aneurysm,aneurysms,,
aneurysm of the aorta,a saccular aneurysm of the thoracic aortic arch,thoracic aneurysm of the aorta,
aneurysm of the aorta,a thoracic aneurysm of the aorta,thoracic aneurysm of the aorta,
aneurysm of the aorta,a thoracic aortic pseudoaneurysm,thoracic aneurysm of the aorta,
aneurysm of the aorta,Acute dissecting thoracic aortic aneurysm,thoracic aneurysm of the aorta,
aneurysm of the aorta,sudden expansion of a traumatic aortic aneurysm,thoracic aneurysm of the aorta,
aneurysm of the aorta,thoracic aortic dissections/aneurysms,thoracic aneurysm of the aorta,
aneurysm of the aorta,Dissecting aortic aneurysm,dissecting aneurysm,
aneurysm of the aorta,a giant left subclavian artery aneurysm,,
aneurysm of the aorta,a large innominate artery aneurysm,,
aneurysm of the aorta,a likely mycotic thoracic aneurysm,,
aneurysm of the aorta,an aneurysm of the ascending aorta,,
aneurysm of the aorta,Giant coronary aneurysms,,
Anger/hostility traits,Anger/hostility traits,,
angina,angina pectoris,angina pectoris,
angina,angina pectoris,angina pectoris,
angina,angina pectoris,angina pectoris,
angina,angina pectoris,angina pectoris,
angina,angina pectoris,angina pectoris,
angina,angina pectoris,angina pectoris,
angina,angina pectoris,angina pectoris,
angina,attacks of angina pectoris,angina pectoris,
angina,classic angina pectoris,angina pectoris,
angina,stable angina pectoris,angina pectoris,
angina,the patients ' habitual angina pectoris,angina pectoris,
angina,the patients ' usual exertional angina pectoris,angina pectoris,
angina,true angina pectoris,angina pectoris,
angina,unstable angina pectoris,angina pectoris,
angina,Microvascular angina,Microvascular angina,
angina,Microvascular angina,Microvascular angina,
angina,Microvascular angina,Microvascular angina,
angina,The variant angina,Variant angina,
angina,undiagnosed variant angina,Variant angina,
angina,Variant angina,Variant angina,
angina,Variant angina,Variant angina,
angina,Analysis of angina pectoris history,,
angina,angina,,
angina,angina,,
angina,Angina,,
angina,angina,,
angina,angina,,
angina,anginal pain,,
angina,anginal symptoms,,
angina,Ludwig 's angina,,
angina,Non-CAD related angina,,
angina,the angina type specification,,
angina,Unstable angina,,
angina,Vasospastic angina,,
angina pectoris,CSAP,,
angiography,coronary angiography,coronary angiography,
angiography,coronary angiography,coronary angiography,
angiography,coronary angioplasty,coronary angiography,
angiography,Coronary Computed Tomographic Angiography,coronary angiography,
angiography,normal coronary angiography,coronary angiography,
angiography,angiography,,
angiography,angiography,,
angiography,angiography,,
angiography,angiography,,
angioplasty,angioplasty,,
anomalous coronary artery,an anomalous coronary artery,,
anomalous coronary artery,an anomalous origin of the right coronary artery,,
anomalous coronary artery,Anomalous origins of the coronary arteries,,
ANP infusion,ANP infusion,,
Anti-cardiolipin antibodies,Anti-cardiolipin antibodies,,
Antimetabolites,Antimetabolites,,
antireflux surgery,antireflux surgery,,
anti-thyroid and anti-spasm treatment,anti-thyroid and anti-spasm treatment,,
anxiety-related symptoms,anxiety-related symptoms,,
aorta,the aorta,,
aorta,tortuosity of the thoracic aorta,,
aorta,Tortuous aorta,,
aortic,acute aortic syndrome,,
aortic,an aortic origin,,
aortic,enlargement of the proximal aorta,,
surgery,aortic coarctation surgery,,
aortic dissection,AAD,,
aortic dissection,AD,,
aortic dissection,Aortic dissection,,
aortic dissection,aortic dissection,,
aortic dissection,Aortic dissection,,
aortic dissection,aortic dissection,,
aortic dissection,aortic dissection,,
aortic dissection,Aortic dissection,,
aortic dissection,Aortic dissection,,
aortic dissection,aortic dissection,,
aortic dissection,aortic dissection,,
aortic dissection,ascending aortic dissection,,
aortic dissection,Spontaneous aortic dissection,,
aortic dissection,type B aortic dissection,,
aortic dissection,Type-A AD,,
aortic dissection,Uncomplicated Type B Aortic Dissection,,
aortic dissection,a complicated postoperative course of abdominal aortic aneurysm resection,,
aortic dissection,acute aortic dissection,,
aortic dissection,acute aortic dissection,,
aortic Intervention,Endovascular Aortic Intervention,,
aortic stenosis,aortic stenosis,,
aortic stenosis,membranous subaortic stenosis,,
aortic stenosis,symptomatic aortic stenosis,,
aortic valve,aortic valve replacement,aortic valve,
aortic valve,Aortic Valve Replacement,aortic valve,
aortic valve,aortic valvular disease,aortic valve,
aortic valve,flail aortic valve,aortic valve,
aortic valve,Stuck prosthetic aortic valve,aortic valve,
aortic valve,acute dysfunction of mechanical aortic valve prosthesis,,
aortitis,idiopathic ascending aortitis,idiopathic ascending aortitis,
aortitis,idiopathic ascending aortitis,idiopathic ascending aortitis,
aortitis,Aortitis,,
aortitis,complicated Fusarium aortitis,,
